CMDLINE D:\anaconda3\python.exe main.py
MEM 1.621094 1726046012.8378
MEM 12.757812 1726046012.9458
MEM 20.957031 1726046013.0568
MEM 26.046875 1726046013.1688
MEM 30.421875 1726046013.2798
MEM 33.886719 1726046013.3898
MEM 37.492188 1726046013.5018
MEM 41.218750 1726046013.6114
MEM 44.414062 1726046013.7224
MEM 46.500000 1726046013.8344
MEM 47.289062 1726046013.9424
MEM 47.488281 1726046014.0544
MEM 47.488281 1726046014.1644
MEM 47.488281 1726046014.2764
MEM 48.097656 1726046014.3874
MEM 48.117188 1726046014.4984
MEM 55.664062 1726046014.6089
MEM 78.296875 1726046014.7199
MEM 108.578125 1726046014.8309
MEM 176.890625 1726046014.9409
MEM 75.410156 1726046015.0529
